Scaffold498	NW_012224899.1
Scaffold499	NW_012224900.1
Scaffold500	NW_012224901.1
Scaffold501	NW_012224902.1
Scaffold502	NW_012224903.1
Scaffold503	NW_012224904.1
Scaffold504	NW_012224905.1
Scaffold505	NW_012224906.1
Scaffold506	NW_012224907.1
Scaffold507	NW_012224908.1
Scaffold508	NW_012224909.1
Scaffold509	NW_012224910.1
Scaffold510	NW_012224911.1
Scaffold511	NW_012224912.1
Scaffold512	NW_012224913.1
Scaffold513	NW_012224914.1
Scaffold514	NW_012224915.1
Scaffold515	NW_012224916.1
Scaffold516	NW_012224917.1
Scaffold517	NW_012224918.1
Scaffold518	NW_012224919.1
Scaffold519	NW_012224920.1
Scaffold520	NW_012224921.1
Scaffold521	NW_012224922.1
Scaffold522	NW_012224923.1
Scaffold523	NW_012224924.1
Scaffold524	NW_012224925.1
Scaffold525	NW_012224926.1
Scaffold526	NW_012224927.1
Scaffold527	NW_012224928.1
Scaffold528	NW_012224929.1
Scaffold529	NW_012224930.1
Scaffold530	NW_012224931.1
Scaffold531	NW_012224932.1
Scaffold532	NW_012224933.1
Scaffold533	NW_012224934.1
Scaffold534	NW_012224935.1
Scaffold535	NW_012224936.1
Scaffold536	NW_012224937.1
Scaffold537	NW_012224938.1
Scaffold538	NW_012224939.1
Scaffold539	NW_012224940.1
Scaffold540	NW_012224941.1
Scaffold541	NW_012224942.1
Scaffold542	NW_012224943.1
Scaffold543	NW_012224944.1
Scaffold544	NW_012224945.1
Scaffold545	NW_012224946.1
Scaffold546	NW_012224947.1
Scaffold547	NW_012224948.1
Scaffold548	NW_012224949.1
Scaffold549	NW_012224950.1
Scaffold550	NW_012224951.1
Scaffold551	NW_012224952.1
Scaffold552	NW_012224953.1
Scaffold553	NW_012224954.1
Scaffold554	NW_012224955.1
Scaffold555	NW_012224956.1
Scaffold556	NW_012224957.1
Scaffold557	NW_012224958.1
Scaffold558	NW_012224959.1
Scaffold559	NW_012224960.1
Scaffold560	NW_012224961.1
Scaffold561	NW_012224962.1
Scaffold562	NW_012224963.1
Scaffold563	NW_012224964.1
Scaffold564	NW_012224965.1
Scaffold565	NW_012224966.1
Scaffold566	NW_012224967.1
Scaffold567	NW_012224968.1
Scaffold568	NW_012224969.1
Scaffold569	NW_012224970.1
Scaffold570	NW_012224971.1
Scaffold571	NW_012224972.1
Scaffold572	NW_012224973.1
Scaffold573	NW_012224974.1
Scaffold574	NW_012224975.1
Scaffold575	NW_012224976.1
Scaffold576	NW_012224977.1
Scaffold577	NW_012224978.1
Scaffold578	NW_012224979.1
Scaffold579	NW_012224980.1
Scaffold580	NW_012224981.1
Scaffold581	NW_012224982.1
Scaffold582	NW_012224983.1
Scaffold583	NW_012224984.1
Scaffold584	NW_012224985.1
Scaffold585	NW_012224986.1
Scaffold586	NW_012224987.1
Scaffold587	NW_012224988.1
Scaffold588	NW_012224989.1
Scaffold589	NW_012224990.1
Scaffold590	NW_012224991.1
Scaffold591	NW_012224992.1
Scaffold592	NW_012224993.1
Scaffold593	NW_012224994.1
Scaffold594	NW_012224995.1
Scaffold595	NW_012224996.1
Scaffold596	NW_012224997.1
Scaffold597	NW_012224998.1
Scaffold598	NW_012224999.1
Scaffold599	NW_012225000.1
Scaffold600	NW_012225001.1
Scaffold601	NW_012225002.1
Scaffold602	NW_012225003.1
Scaffold603	NW_012225004.1
Scaffold604	NW_012225005.1
Scaffold605	NW_012225006.1
Scaffold606	NW_012225007.1
Scaffold607	NW_012225008.1
Scaffold608	NW_012225009.1
Scaffold609	NW_012225010.1
Scaffold610	NW_012225011.1
Scaffold611	NW_012225012.1
Scaffold612	NW_012225013.1
Scaffold613	NW_012225014.1
Scaffold614	NW_012225015.1
Scaffold615	NW_012225016.1
Scaffold616	NW_012225017.1
Scaffold617	NW_012225018.1
Scaffold618	NW_012225019.1
Scaffold619	NW_012225020.1
Scaffold620	NW_012225021.1
Scaffold621	NW_012225022.1
Scaffold622	NW_012225023.1
Scaffold623	NW_012225024.1
Scaffold624	NW_012225025.1
Scaffold625	NW_012225026.1
